method,RMSE,R2,MAE,MSE
Random Forest,9.332959731504603,0.9246900221001423,5.288762342507803,87.10413734988647
XGBoost,9.36243036605369,0.9242136593929537,5.266511172664778,87.65510235920422
Bagging,9.37915489248659,0.9239426565241161,5.301621254039992,87.96854649725512
BART,11.585802566546732,0.8839444315860342,7.625079789018936,134.23082111100086
CART,12.28362956534981,0.8695430687836763,7.6853312425878935,150.88755529873598
Polynomial,17.439706492915885,0.737038553970129,13.19673658750621,304.14336255905243
OLS,17.65641931776325,0.7304626187305894,13.42317951039721,311.74914312468326
Lasso,17.715471299758686,0.7286566655452152,13.477006043761092,313.8379233725737
Elastic Net,17.716176515545545,0.7286350618962226,13.479347688230172,313.8629103299675
Best Subset,17.89258566472113,0.7232039128823078,13.666912563808623,320.144621769384
Adaptive Lasso,17.89615160098313,0.7230935727023649,13.540519091424965,320.27224212537106
Group Lasso,17.94481405755458,0.7215856208760936,13.611533037604012,322.01635156020853
Ridge,18.916857013465865,0.6906061345061767,14.482921146362717,357.8474792679127
